,year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
1238,2020,1,21,,11,5,12,20,nap,NA,,ap,18004
1239,2020,2,21,,8,30,NA,NA,wet,NA,,ap,18004
1240,2020,2,21,,10,10,NA,NA,bowel,NA,,ap,18004
1241,2020,2,21,,12,45,NA,NA,wet,NA,,ap,18004
1242,2020,2,21,,14,46,NA,NA,wet,NA,,kc,18004
1243,2020,2,21,,9,20,NA,NA,bottle,2,oz,ap,18004
1244,2020,2,21,,11,5,NA,NA,water,NA,,ap,18004
1245,2020,2,21,,13,10,NA,NA,bottle,2,oz,ap,18004
1246,2020,2,21,,11,25,12,8,nap,NA,,ap,18004
1247,2020,2,6,,8,10,NA,NA,wet,NA,,ap,18004
1248,2020,2,6,,10,5,NA,NA,bowel,NA,,ap,18004
1249,2020,2,6,,9,25,NA,NA,bottle,3,oz,ap,18004
1250,2020,2,6,,11,0,NA,NA,bottle,3,oz,ap,18004
1251,2020,2,24,,8,20,NA,NA,wet,NA,,ap,18004
1252,2020,2,24,,10,20,NA,NA,wet,NA,,kc,18004
1253,2020,2,24,,13,30,NA,NA,wet,NA,,kc,18004
1254,2020,2,24,,8,0,NA,NA,bottle,3,oz,kc,18004
1255,2020,2,24,,11,0,NA,NA,bottle,3,oz,kc,18004
1256,2020,2,24,,13,30,NA,NA,water,NA,,kc,18004
1257,2020,2,24,,11,20,13,20,nap,NA,,kc,18004
1258,2020,1,28,,8,10,NA,NA,wet,NA,,ap,18004
1259,2020,1,28,,10,5,NA,NA,bowel,NA,,ap,18004
1260,2020,1,28,,12,40,NA,NA,wet,NA,,ap,18004
1261,2020,1,28,,14,15,NA,NA,dry,NA,,ap,18004
1262,2020,1,28,,10,10,NA,NA,bottle,2,oz,ap,18004
1263,2020,1,28,,11,10,NA,NA,bottle,1,oz,ap,18004
1264,2020,1,28,,14,50,NA,NA,water,NA,,ap,18004
1265,2020,1,28,,11,15,12,20,nap,NA,,ap,18004
1266,2020,1,30,,8,20,NA,NA,wet,NA,,kc,18004
1267,2020,1,30,,10,20,NA,NA,wet,NA,,kc,18004
1268,2020,1,30,,12,32,NA,NA,wet,NA,,kc,18004
1269,2020,1,30,,14,34,NA,NA,dry,NA,,kc,18004
1270,2020,1,30,,8,50,NA,NA,bottle,3,oz,kc,18004
1271,2020,1,30,,10,50,NA,NA,water,NA,,kc,18004
1272,2020,1,30,,12,30,NA,NA,bottle,3,oz,kc,18004
1273,2020,1,30,,14,12,NA,NA,bottle,3,oz,kc,18004
1274,2020,1,30,,11,5,12,29,nap,NA,,kc,18004
1275,2020,1,23,,7,14,NA,NA,wet,NA,,kc,18004
1276,2020,1,23,,9,0,NA,NA,wet,NA,,ac,18004
1277,2020,1,23,,10,30,NA,NA,wet,NA,,kc,18004
1278,2020,1,23,,13,0,NA,NA,bowel,NA,,kc,18004
1279,2020,1,23,,11,0,NA,NA,water,NA,,kc,18004
1280,2020,1,23,,13,30,NA,NA,bottle,3,oz,kc,18004
1281,2020,1,23,,11,10,12,50,nap,NA,,kc,18004
1282,2020,1,17,,7,33,NA,NA,bowel,NA,,kc,18004
1283,2020,1,17,,9,10,NA,NA,dry,NA,,ap,18004
1284,2020,1,17,,10,30,NA,NA,wet,NA,,kc,18004
1285,2020,1,17,,13,17,NA,NA,wet,NA,,kc,18004
1286,2020,1,17,,14,5,NA,NA,wet,NA,,kc,18004
1287,2020,1,17,,13,45,NA,NA,water,NA,,kc,18004
1288,2020,1,17,,14,21,NA,NA,water,NA,,kc,18004
1289,2020,1,17,,11,30,13,0,nap,NA,,kc,18004
1290,2020,1,27,,8,30,NA,NA,wet,NA,,ap,18004
1291,2020,1,27,,10,10,NA,NA,dry,NA,,ap,18004
1292,2020,1,27,,12,20,NA,NA,wet,NA,,ap,18004
1293,2020,1,27,,14,0,NA,NA,wet,NA,,ap,18004
1294,2020,1,27,,9,40,NA,NA,water,NA,,ap,18004
1295,2020,1,27,,10,50,NA,NA,water,NA,,ap,18004
1296,2020,1,27,,14,10,NA,NA,bottle,2,oz,ap,18004
1297,2020,1,27,,11,10,12,15,nap,NA,,ap,18004
1298,2020,1,31,,8,45,NA,NA,wet,NA,,ap,18004
1299,2020,1,31,,10,30,NA,NA,wet,NA,,ap,18004
1300,2020,1,31,,12,50,NA,NA,wet,NA,,ap,18004
1301,2020,1,31,,14,35,NA,NA,dry,NA,,ap,18004
1302,2020,1,31,,8,10,NA,NA,water,NA,,ap,18004
1303,2020,1,31,,11,0,NA,NA,water,NA,,ap,18004
1304,2020,1,31,,14,15,NA,NA,water,NA,,ap,18004
1305,2020,1,31,,11,17,12,30,nap,NA,,ap,18004
1306,2020,2,28,,8,15,NA,NA,wet,NA,,ij,18004
1307,2020,2,28,,10,20,NA,NA,wet,NA,,ap,18004
